press,headline
지디넷코리아,"中 전기차 '니오', 삼성 OLED 장착 '니오폰 2' 발표"
파이낸셜뉴스,"'물 들어온' LS, 전력+배·전·반 ‘양손잡이 경영’ 전략 속도"
문화일보,"“전기차 80% 충전되면 끝”…서울시, 급속충전기 충전 제한 도입"
연합뉴스,"하루 만에 반등한 코스피 2,770선 회복…코스닥은 약보합(종합)"
조선비즈,"롯데, 'AI 전환·신사업 강화'로 혁신 가속화"
뉴시스,"현대차그룹, 올해도 '글로벌 톱3'…1위 향해 달린다"
연합뉴스,"투자 미루고 캐파 축소…배터리소재업계, 실적 한파에 속도 조절"
연합뉴스,"베트남 노동자 평균 임금, 상반기에만 7.4% 상승"
전자신문,"BMW 바바리안 모터스, 獨 시험인증기관 '인증 중고차 프로세스' 인증 획득"
연합뉴스,"에코프로 ""양극재 캐파 하향 검토…미래 위한 투자는 지속"""
국민일보,"“충전기를 주차장처럼”… 서울시, ‘전기차 얌체족’ 잡는다"
파이낸셜뉴스,"스마트 기술 접목 안전한 고속도로 만든다.. 도로공사, AI, 드론 등 첨단 기술 도입"
한국경제,'기업애로지원단' 띄운 부산…투자유치 '속도'
오토타임즈,"[하이빔]PHEV, 넌 대체 누구 편이냐"
전자신문,에코프로 “하반기 반등 어려워…양극재 생산 능력 하향 검토”
매경이코노미,관세 폭탄 땐 ‘트럼플레이션’ 쓰나미
한국경제TV,"에코프로 ""양극재 캐파 축소 검토…투자는 지속"""
매경이코노미,해리스 도전 받는 트럼프노믹스
한국경제,"""테슬라 덕에 겨우 지켰다""…에코프로비엠, 코스닥 1위 자리 '위태'"
KBS,“혼다·닛산 ‘전기차 동맹’에 미쓰비시자동차도 합류”
한국경제,"SKIET, ""FCW 설비 이어 청주 분리막 공장 매각"""
디지털타임스,"서울시, 전기차 급속충전율 80% 제한 도입"
프레시안,에코프로 2분기 매출 감소...‘546억원’ 영업손실
조선비즈,"요즘 전기차 업체 신통찮은데, 충전 업체는 2년만에 몸값 4배 됐다고?"
뉴시스,"기아, 중국 현지 판매 회복세…""EV5로 이익 더 늘린다"""
한국경제,"수입차 중 유일하게 부산모빌리티쇼 참가한 BMW…지역 상생, 고객 소통 돋보여"
동아일보,"BMW 바바리안 모터스, 독일 TUV SUD ‘인증 중고차 프로세스’ 획득"
한국경제,"""트럼프 보통 아니네…"" 주식창 열었다가 '화들짝' 놀란 이유"
파이낸셜뉴스,"‘캐즘 늪’ SK온, 하반기 흑자전환 기대... 배터리 탑재 전기차 美판매 증가에 희망"
뉴시스,'전기차 의무' 철폐…글로벌 車업계 벌써 '긴장'[트럼프 車 정책 어디로①]
파이낸셜뉴스,"현대車, 유엔 기구에 아이오닉 5 지원"
한경비즈니스,"에코프로, 2분기 영업손실 546억…적자 전환"
SBS,경기 구리서 전기자전거 역주행하던 80대 차에 치여 숨져
전자신문,"국제e-모빌리티엑스포, '비즈니스 네트워킹 엑스포'로 거듭난다...내년 4월 제12회 행사 개최"
머니투데이,"'캐즘' 직격탄 맞은 K-배터리, 일단 '버티기'…투자 줄이고 내실 다진다"
디지털타임스,"현대모비스, 글로벌 수주 확대로 ESG 경영 강화…""현지 시장 요구 부응"""
매일경제,"넥센타이어, 유럽 사업 호조에 사상 최대 분기 매출"
뉴시스,中 전기차 관세장벽…美 시장 포기할까 [트럼프 車 정책 어디로③]
한국경제,TSMC 다음 공격 타깃은…'트럼프의 입'에 떠는 시장
조선일보,"‘배터리 80% 차면 충전 종료’ 서울시, 전기차 급속 충전기 충전 제한 9월 도입"
연합뉴스,"전기 자전거 탄 80대 노인, 중앙선 넘으려다 차에 치여 사망"
조선비즈,"엘앤에프, LFP 배터리 국책과제 주관기업 선정"
파이낸셜뉴스,건설 끌고 리조트 밀고… 삼성물산 2분기 '실적 선방' 견인(종합)
쿠키뉴스,"에코프로, 2분기 매출액 8641억…“적자전환에도 미래투자 지속”"
파이낸셜뉴스,첨단기술로 연결된 고속도로… 도로公의 건설혁신은 진행형
매일경제,[단독] LG·도요타 日서 비공개 테크쇼 전기차·자율주행 '미래차 동맹'
데일리안,삼성물산 상사 부문 2Q 영업익 720억…전년비 36.8% 감소
연합뉴스,"태국, 해외첨단산업 자국인재 유치전…""귀국하면 소득세 절반↓"""
연합뉴스,美 테슬라-오토바이 충돌 사망사고 당시 '자율주행 모드' 작동
머니투데이,"14.8조→5.3조 '뚝'…개미 떠난 코스닥, 거래대금 연중 최저"
뉴시스,"""2분기 7638억원"" 넥센타이어, 분기 매출 사상 최대"
머니투데이,"2분기 적자 전환한 에코프로…""설비 증설 예정대로"""
MBC,"도로에서 전기 자전거 타던 80대, 차에 치여 숨져"
파이낸셜뉴스,"""여름 휴가 전 필수""...금호타이어, 제품 무상점검 서비스"
신동아,"[르포] ‘전기차 메카’ 육성 12년, 제주를 가다"
연합뉴스,자율주행버스 청계천∼세운상가 오간다…완전 자동은 '아직'
연합뉴스,"80% 충전되면 끝…서울시, 전기차 급속충전기 충전제한 도입"
비즈워치,"현대모비스, 미래 모빌리티 시장서 '글로벌 리더십' 뽐냈다"
매일경제,“돌고 돌아 순정 부품”…자동차 애프터마켓에 부는 ‘순풍’
한국경제,'기업사 새옹지마'…직격탄 맞은 양극재사 '버티기' 들어갔다
머니투데이,K-배터리 '보릿고개' 이렇게 혹독할 줄은…영업익 '10분의 1'토막
오토타임즈,"금호타이어, 주요 고속도로 휴게소서 무상점검 실시"
쿠키뉴스,신사업에 소극적인 대기업들… 절반 넘게 추가 ‘제로’
머니투데이,"엘앤에프, 'LFP 배터리 기술개발' 국책과제 주관기업 선정"
데일리안,"엘앤에프, LFP 국책과제 주관기관 선정…“저가형 배터리 시장 공략 강화”"
파이낸셜뉴스,신사업 몸사리는 대기업들… 절반 넘게 추가 '제로(0)'
지디넷코리아,"엘앤에프, 산업부 'LFP 배터리' 국책과제 주관 기업 됐다"
KBS,"서울시, 전기차 급속충전기 80% 충전 제한 도입"
전자신문,“400㎞ 떨어진 곳에서 자율주행차 제어·통제한다”이모션-KAIST 기술 실증 사업 착수
머니투데이,"""내 통장 마이너스"" 투자자 95%가 '비명'…삼성SDI 신저가"
연합뉴스,"엘앤에프, LFP 배터리 국책과제 주관기업 선정…""공급망 기여"""
한국경제,더위 먹은 7월 코스피…개미들 6.7% 손실
한국경제,"""삼성SDI도 2차전지 캐즘 못 피해""…목표가 '줄하향'"
노컷뉴스,"해양에너지 오광호 본부장 ""에너지 복지 위해 도시가스 요금 인상 필요"""
SBS,미국 테슬라-오토바이 충돌 사망사고 당시 '자율주행 모드' 작동
연합뉴스,"최상목 ""한-중남미 교역 30년간 10배…협력수준 더 높여야"""
지디넷코리아,"美, '중국산' 관세 인상 최소 2주 연기"
매일경제,"적자폭 줄인 SKIET, 중장기 공급 협상 중"
전자신문,"탑머티리얼, 평택에 LFP 양극재 공장 설립…500억원 투자"
머니투데이,"최상목 ""한-중남미 교역규모 10배 이상 증가…협력수준 더 높여야"""
SBS Biz,"[기업이슈] 환경부, 14년만에 다목적댐 건설 추진…토목주 강세"
비즈워치,"금호타이어, 2분기도 '쌩쌩'…고수익 제품 덕에 웃었다"
뉴시스,"현대차, 유럽 수출기지 체코서 두자릿수 판매량 확대"
한국경제,"앵글로 못가진 BHP, 또 다른 구리 광산업체 인수 성공"
매일경제,“여름휴가 앞두고 타이어 바꿨더니”...영업이익 72% 급증한 이 회사
노컷뉴스,"'곰표 맥주, 과자'…곰표 업은 대한제분, 신사업 추가 1등"
연합뉴스,"대기업 절반, 5년간 신사업 추가 없어…인기 사업은 미래형車"
뉴시스,"최상목 ""한-중남미 교역 30년새 10배 늘어…공급망 협력 강화"""
쿠키뉴스,금호타이어 2분기 영업익 년비 72%↑...‘향후 임단협이 과제’
SBS Biz,"[어제장 오늘장] 출렁이는 시장 속 삼성전자 실적, 온기 가능할까?"
머니투데이,"""에코프로 개미 어쩌나"" 영업익 97% 급감…그룹주 '줄하락'"
조선비즈,"[특징주] 율촌화학, 1조4000억원 계약 해지 공시에 20%대 급락"
세계일보,"현대차·기아, 印尼서 미래항공모빌리티 사업 첫발"
SBS,"'첫 방중' 멜로니 이탈리아 총리 ""무역 불균형 재조정이 목적"""
지디넷코리아,"[타보고서] ""이 차 정말 사고 싶다""…V2L로 반전 맞은 '기아 EV3'"
연합뉴스,"'첫 방중' 멜로니 伊총리 ""무역 불균형 재조정이 목적"""
MBC,"'첫 방중' 멜로니 이탈리아 총리 ""무역 불균형 재조정이 목적"""
연합뉴스TV,"서울시, 전기차 급속충전기 최대 80%로 충전제한 도입"
문화일보,에코프로 2분기 영업손실 546억 원…적자 전환
디지털타임스,"테슬라, 美서 185만대 리콜…""차량 후드 열림 문제"""
파이낸셜뉴스,"[컨콜] 에코프로 ""중장기 양극재 캐파 하향 검토 중"""
뉴시스,"KB증권 ""삼성SDI, 고객 수요 둔화·믹스 악화 반영…목표가↓"""
KBS,"[성공예감] 중국의 대외수출, 순이익이 나빠지고 있다 – 이철 박사(중국전문가)"
한국경제TV,영업이익 96.6% 감소…에코프로 그룹 줄줄이 하락
전자신문,"US산업연합, '혁신·IP 보호 권고 사항' 발표"
뉴시스,"美, '8월부터 시행 예정' 대중국 관세 최소 2주 연기"
아이뉴스24,"금호타이어, 고속도로 안전점검 캠페인 실시"
조선비즈,[특징주] 영업익 97% 급감…에코프로그룹주 약세
전자신문,"엘앤에프, LFP 배터리 개발 국책과제 주관기업 선정"
세계일보,‘33년차 소방관의 당부’ 영상 뜨거운 공감
디지털타임스,"`전기차 캐즘`에도…中 CATL 상반기 순익 4.4조원, 전년比 10%↑"
한국경제,하반기 신차 대거 출고 시작…시장 침체 딛고 질주할까
뉴시스,"현대차·기아, '美 소비자 신차 만족도' 최다 1위 차지"
연합뉴스TV,"중국, EU 무역마찰서 우군 확보하나…이탈리아에 구애"
전자신문,삼성SDI “올해 투자 계획 변동 無…스텔란티스 JV 연내 가동”
한국경제TV,"인기 사업은 미래형車..대기업 절반, 5년간 신사업 추가無"
매일경제,"“삼성SDI, 연내 실적 반등 어려워”…목표가↓"
연합뉴스,"테슬라, 美서 '후드 열림' 결함 185만대 리콜…주가 4.1%↓(종합)"
MBC,"테슬라, 미국서 '후드 열림' 결함 185만 대 리콜"
중앙일보,‘캐즘’에 배터리 실적부진 지속…삼성SDI 2분기 영업익 38% 급감
머니투데이,"에코프로 ""중장기 캐파 하향·투자속도 조절 검토 중"""
매일경제,연내 인도증시 입성 … 4조 수혈로 제2 도약
조선일보,금호타이어 2분기 영업이익 1515억원…작년 대비 72% 증가
조선비즈,"[특징주] ‘코스피 새내기’ 산일전기, 2일 연속 강세"
머니투데이,"""5년간 300억달러 더""…싱가포르 국부펀드, 미국 투자 늘린다"
머니투데이,"[단독]SK그룹, 내년 CES서도 'AI와 반도체' 힘준다"
매일경제,LS이링크·두산로보틱스 서울시와 충전인프라 확대 MOU 체결
파이낸셜뉴스,엔비디아·테슬라 동반 급락 [송경재의 새벽 증시]
매일경제,"‘포스트 중국’ 기대?...대한민국 인니 투자, 전세계 3위"
한국경제,"프리미엄 세단의 끝판왕 BMW i5 ""묵직하게 잘나가네"""
한국경제,삼성SDI '게임체인저 배터리' 양산 1년 앞당긴다
스포탈코리아,"'2년 연속 자동차 GET!' 소크라테스, 시즌 22호 2점 홈런→2024 기아 홈런존 2번째 주인공 등극"
데일리안,"도요타, 전기차배터리 공장 신설…""2028년 가동"""
매일경제,출렁이는 테슬라株 … 전망 엇갈리는 월가
스포츠한국,"[포커스!] 글로벌 프리미엄 전기차 1위 BMW ""한국에서도 성장세 이어간다"""
뉴시스,"벤처펀드 '큰 손'된 지자체, VC 지역투자 활성화되나"
뉴시스,"테슬라, 후드 문제로 美서 185만대 리콜"
경향신문,길어지는 캐즘에 배터리셀 제조사 실적도 곤두박질…삼성SDI 2분기 영업익 38% 급감
주간경향,1588호를 읽고[독자의 소리]
조선비즈,"금호타이어, 2분기 영업익 1515억원… 전년比 72% 상승"
지디넷코리아,"삼성SDI, 불황에도 투자 곳간 푼다…전고체·46파이 개발 집중"
지디넷코리아,"[유미's 픽] ""더 이상 '전산실' 아니다""…신동빈이 콕 찍은 롯데 핵심 계열사 어디?"
대구MBC,[심층] 트럼프가 미 대통령에 당선된다면···전기차 부진에 IRA 폐지까지? 대구·경북 수출 '빨간 불'
SBS,"테슬라, 미국서 '후드 열림' 결함 185만 대 리콜…주가 장중 4%↓"
데일리안,"LS E-Link-서울시, 충전인프라 확대 위한 MOU"
뉴시스,"삼성SDI, 캐즘에 실적 '숨고르기'…투자 계획 ""변동 없다""(종합)"
MHN스포츠,"'지난해 이어 올해도 자동차 홈런' 소크라테스, 올 시즌 기아 홈런존 두 번째 주인공...EV3 증정 받는다"
파이낸셜뉴스,"포스코퓨처엠, 포항·광양 어린이 대상 환경캠프 실시"
동아일보,“AI-미래차가 광주 미래 먹거리… 도시 이용 인구 3000만 시대 열 것”
머니투데이,"모건스탠리가 테슬라 픽하자 이차전지주 '반등', 증권가 전망은?"
더팩트,현대차 '소방관 영상' 3000만뷰…수소 모빌리티·소방관 지원 '동시' 홍보
중앙일보,"""소화기 하나뿐, 이러다 큰일""…지하주차장 전기차 조마조마"
파이낸셜뉴스,금호타이어 2분기 영업익 1515억원…전년비 72% 급증
매일경제,충전 인프라 확대 위해 서울시·기업 맞손
파이낸셜뉴스,'3천만명이 봤다' 현대차그룹 글로벌 히트친 이 영상은?
연합뉴스,"테슬라, 美서 '후드 열림' 결함 185만대 리콜…주가 장중 4%↓"
매경이코노미,"모건스탠리의 최애 車는 테슬라...테슬라 5.6% 급등 [오늘, 이 종목]"
데일리안,"포스코퓨처엠, 어린이 대상 ‘푸른꿈 환경캠프’ 개최…“환경보호 교육”"
경기일보,"구리서 전기자전거 역주행 80대, 방향 전환 중 차량에 치여 숨져"
디지털타임스,"[특징주] 산일전기, 상장 첫날 공모가 대비 22% 상승 중…흥행 부진"
매일경제,"‘썩어도 준치’인가...‘인증부정’ 도요타, 상반기 판매 세계1위 수성"
YTN,"[스타트경제] 머리 숙인 구영배 ""800억 가능하지만 당장은 안 돼"""
YTN,"테슬라, '후드 열림' 결함 185만 대 리콜...주가 4.1%↓"
뉴시스,"현대차그룹, 내년 SDV 시제품 내놓는다…""양산도 준비"""
전자신문,"포스코퓨처엠, 지역 어린이 대상 '푸른꿈 환경캠프' 개최"
동아일보,[박중현 칼럼]‘트럼프 집권 2기’를 보는 한국인의 독특한 시각
매일경제,한경협·배터리협 부회장·동포청장...잘 나가는 인니 대사 출신들
매일경제,“잠깐 좋다 말았네”...반짝 뛴만큼 더 추락한 ‘이 나라’ 증시
파이낸셜뉴스,"'투자 축소없다' 삼성SDI, 캐즘에도 배터리 역발상 전략"
아이뉴스24,"포스코퓨처엠, 탄소중립 주제로 '푸른꿈 환경캠프' 개최"
머니투데이,"17% '뚝' 이 주식, 반등 언제?…""당분간 힘들다"" 눈높이 낮춘 증권가"
파이낸셜뉴스,"LG전자, 서울시와 손잡고 '이것' 보급 확대한다"
지디넷코리아,"포스코퓨처엠, 포항·광양 어린이 대상 '환경캠프' 운영"
한국경제TV,"""이 정도 일 줄이야""…美 소비자 '극찬'"
중앙일보,[스티븐 도버의 마켓 나우] 미 대선서 공화당이 이길 경우 시장은
스포츠조선,"'개장 이후 두 번째' 기록인데 웃지 못했다…'21세기 최소 경기 기록 탄생&2년 연속 10승' 두산, KIA 제압 '4연패 탈출' [광주 리뷰]"
중앙일보,‘캐즘’에 엇갈린 K배터리…삼성 “투자지속” LG “속도조절”
한국경제TV,"삼성SDI도 실적 '뚝'…""혹한기 내년까지 간다"""
전자신문,"[단독]현대차, 수소차 '넥쏘' 후속 7년 만에 나온다…내년 5월 양산"
파이낸셜뉴스,"광주광역시, 전기굴착기 보급 확대...대당 최대 5000만원 지원"
오토타임즈,"마이바흐, “전통과 미래를 모두 표현할 수 있는 차”"
더팩트,"한국앤컴퍼니, 신성장 동력 확보 잰걸음…한온시스템 인수 '막판 진통'"
연합뉴스,금호타이어 2분기 영업익 1천515억원…작년 동기보다 72% 증가(종합)
파이낸셜뉴스,"현대차·기아, 인니서 AAM 기술 실증"
이데일리,"위츠, ‘전기차 충전 인프라 특별관’ 참가…EV 충전기 선봬"
데일리안,'33년차 소방관의 당부' 유튜브 3천만 뷰…현대차 소방관 500명에 간식차 보냈다
스포츠동아,"‘앞 유리 직격’ KIA 소크라테스, 2024 기아 홈런존 두 번째 주인공…기아 ‘EV3’ 증정, 개인 두 번째"
한국경제,제대로 대박 났다…2030 여성들 푹 빠진 車 뭐길래
조선비즈,"[특징주] 현대차, 영업익 4.2조로 역대 분기 최대… 5%대 오름세"
연합뉴스,"폴스타4, 내달 13일 국내 첫 공개…전시장 '스웨디시 골드' 래핑"
YTN,"""화살은 어디에?""…랭킹 1위 상대로 1점 쏜 선수에 응원 '봇물'"
디지털타임스,"33년차 소방관의 당부…현대차그룹 `사륙, 사칠` 3000만뷰 달성"
노컷뉴스,"광주광역시, 친환경 전기굴착기 보급 늘린다"
스포츠조선,"'니로→EV3' 소크라테스, 1년 만에 자동차 또 받는다…최형우 이어 13일 만에 KIA 홈런존 직격"
한겨레,"‘조정자 자처’ 이탈리아 멜로니, EU-중국 대화 물꼬 틔울까"
연합뉴스,"韓, 인니에 2분기에만 1.8조원 투자…美日 꺾고 3위에 올라"
전자신문,"광주시, 전기굴착기 보급 늘린다…대당 최대 5천만원 지원"
연합뉴스,"캐즘에 삼성SDI 2분기 영업익 38% 급감…""투자계획 큰변동 없다""(종합2보)"
더팩트,"금호타이어, 2분기 영업익 1515억…전년比 72.0%↑"
한국경제,"금호타이어, 2분기 영업익 1515억…전년비 72% ↑"
SBS Biz,발 넓히는 한국…2분기에만 인도네시아 투자 1.8조원
머니투데이,"광주광역시, 노후 건설기계 감축하고 전기굴착기 보급 늘려"
SBS Biz,"[글로벌 비즈] 맥도날드, 3년 6개월 만에 매출 감소"
더팩트,"[시황] 코스피, 외인·기관 '사자' 2770선 회복···삼성전자 3.58%↑"
국제신문,[증시와이드] ‘트럼프 트레이드’와 시장 변동성
오토타임즈,"기아, “EV3는 트렌드 신기술 집합체”"
파이낸셜뉴스,"""해외수주 확대"" ESG경영 속도내는 현대모비스"
지디넷코리아,"삼성SDI, 2분기 영업익 38%↓...""4분기 수요 회복 기대"""
매경이코노미,국내외 트럼프 수혜주…보호무역에 국내 조선·바이오 ‘땡큐’
파이낸셜뉴스,"""지상이든 항공이든 부르면 온다""...현대차, AAM 실증 본격 시동"
매일경제,재계서 잘나가는 인도네시아 대사 출신들
시사저널,"테슬라, 모건스탠리 車 최고 선호주로 꼽혀…주가 5.6%↑"
전자신문,"로터스코리아, 첫 서비스센터 개소…고객 인도 준비"
한국경제,"지상과 하늘 연결한다…현대차·기아, 인도네시아 AAM 사업 첫 발"
머니투데이,"테슬라, 모건스탠리 '자동차 최고 선호주'로 꼽혀…주가 5.6%↑"
머니투데이,"'특수 변압기' 산일전기, 코스피 상장 첫날 28% 상승"
국민일보,"현대차그룹, 인니서 AAM 생태계 구축"
문화일보,삼성SDI 2분기 영업이익 2802억 원…전년 대비 37.8% 감소
한경비즈니스,"삼성SDI, 2분기 영업익 37.8%↓…""캐즘에도 투자 계속"""
한국경제,"교통안전공단, 국내 첫 모빌리티지원센터로 산업 활성화 주도…자율차·UAM·드론 안전체계 마련도 적극 나서"
조선비즈,"현대차·기아, 인도네시아 AAM 사업 첫발"
매일경제,"한국도 ‘꿈의 배터리’ 내놓나…삼성SDI “공법 확정, 투자계획 변동없다”"
뉴시스,"삼성전자 훈풍 탄 코스피, 1.19% 오른 2770선 마감[마감시황]"
SBS Biz,삼성 美 로비금액 역대 최대…대선100일 4대그룹 분주
뉴시스,"진주시, 하반기 친환경 전기자동차 보급사업 추진"
파이낸셜뉴스,불확실성 커진 칩스법·IRA… 대기업 ‘美 로비액’ 더 늘렸다
한국경제,광주 '2030 대전환'…AI·미래차 + 문화콘텐츠산업 도시로
뉴시스,"익산소방서 ""생활 속 리튬이온배터리 화재 주의하세요"""
매일경제,"포스코퓨처엠, 탄소중립 주제로 푸른꿈 환경캠프 개최"
한국경제,"토요타, 인증부정 스캔들 영향에 6월 생산·판매 감소"
디지털타임스,"`캐즘 여파` 삼성SDI, 2분기 영업이익 37.8% 감소"
매일경제,금호타이어 2분기도 '씽씽' 영업익 72%늘어 역대 최고
파이낸셜뉴스,"""강원형 반도체 생태계 구축… 삼성 같은 대기업 유치할것""[로컬 포커스 자치단체장을 만나다]"
디지털타임스,"금호타이어, 2분기 영업익 1515억원…전년比 72%↑"
한국경제,[책마을] '전기차 지각생' 도요타가 살아남을 전략은
뉴시스,시 주석 “실크로드 계승” vs 伊 총리 “균형과 시장의 공정”
노컷뉴스,전국 최초 '해저터널구조대' 출범…특수구조대원 13명 투입
디지털타임스,"""투자 신중"" vs ""최선호주""…테슬라, 월가서도 평가 엇갈려"
매일경제,‘도로 역주행’ 전기자전거 탄 80대…중앙선 넘으려다 車에 치여 사망
노컷뉴스,"갑작스런 친중행보 伊 총리, EU 中제재 판 흔드나?"
더팩트,"대구경북기업 이모션, KAIST와 손잡고 원격제어 자율주행기술 실증 사업 착수"
매일경제,"‘하반기 출격 태세’ 로터스자동차코리아, 공식 서비스센터 개소"
연합뉴스,"""中 자동차 가격전쟁 속 부품업체들 '울상'…R&D 투자도 감소"""
파이낸셜뉴스,"'美 대선 정보전쟁'..韓대기업, 위싱턴 로비액 최대"
SBS Biz,"[트렌딩 핫스톡] 테슬라, 모건스탠리의 '자동차 최고 선호주'⋯주가 5% 넘게 상승"
머니투데이,"33년차 소방관의 응원 메시지…현대차 유튜브, 3주 만에 3000만뷰 돌파"
한국경제,"""POSCO홀딩스, 중국 정부 정책 또는 배터리 반등 필요""-NH"
조선일보,[朝鮮칼럼] 한전 하루 이자만 120억… 전기 요금 정상화 시급하다
